Santa Monica College - Grade Distribution Spring 2012,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
,,HIST,3,4256,STILES C L,23,16,1,1,1,,1,,2,45,
,,HIST,4,4257,STILES C L,44,4,1,,2,,,,,51,
,,HIST,5,2276,MOSTKOFF A,11,12,13,2,,,,,12,50,
,,,,2277,MOSTKOFF A,12,13,4,4,3,,,1,7,44,
,,HIST,6,2278,MOSTKOFF A,13,13,9,,4,,,,10,49,
,,,,2279,MOSTKOFF A,14,13,12,1,6,,,,3,49,
,,,,2280,RUIZ R,21,14,1,2,,,1,,10,49,
,,HIST,10,2281,KAWAGUCHI L A,1,6,20,2,1,5,1,,14,50,
,,,,2282,KAWAGUCHI L A,2,11,10,5,13,2,1,,7,51,
,,,,2283,SAAVEDRA Y,4,15,16,5,14,,,,,54,
,,,,2284,WILKINSON JR E C,16,22,6,,2,4,,2,3,55,
,,,,2285,CRUZ J S,10,12,11,4,3,1,,1,5,47,
,,,,2286,KAWAGUCHI L A,4,7,11,,7,,,1,9,39,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 50 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
History,HIST,HIST,11,2287,VANBENSCHOTEN W D,5,6,20,11,5,,,,6,53,
,,,,2288,KEVILLE T J,11,6,6,1,1,8,,1,3,37,
,,,,2289,NIELSEN C S,8,15,6,3,3,2,,,10,47,
,,,,2290,CHI J S,4,8,13,10,11,1,,,5,52,
,,,,2291,GANTNER D C,29,18,3,,4,,,2,3,59,
,,,,2292,CHI J S,3,5,3,1,5,,,,3,20,
,,,,2293,KEVILLE T J,15,16,10,1,1,,,,4,47,
,,,,2294,NIELSEN C S,5,13,5,2,2,,,2,9,38,
,,HIST,12,2295,BORGHEI S C,8,12,11,4,1,,,,8,44,
,,,,2296,SAAVEDRA Y,3,8,9,8,14,,,1,,43,
,,,,2297,CHI J S,6,13,8,6,7,,,,5,45,
,,,,2298,KEVILLE T J,12,16,7,,3,,,,1,39,
,,,,2299,BORGHEI S C,4,12,13,2,2,,,,11,44,
,,,,2300,GANTNER D C,14,7,,,1,,,,1,23,
,,,,2301,CHI J S,5,8,10,10,12,,,,5,50,
,,,,2302,MCMILLEN R,11,10,5,2,2,,,2,5,37,
,,,,4258,BOLELLI D,14,27,3,,3,,,3,,50,
,,HIST,13,2303,BORGHEI S C,7,7,3,,4,,,,2,23,
,,,,2304,GANTNER D C,21,14,2,,3,,,,2,42,
,,,,2305,MCMILLEN R,7,11,1,1,4,,,,14,38,
,,HIST,16,2308,CLAYBORNE D,14,16,4,6,5,,,,13,58,
,,,,2309,MCMILLEN R,6,9,1,3,4,,1,,1,25,
,,,,2310,NIELSEN C S,5,8,9,1,4,,,1,12,40,
,,HIST,19,2311,MOSTKOFF A,9,9,18,4,2,,,,3,45,
,,HIST,20,2312,WILKINSON JR E C,15,9,1,,3,5,,1,10,44,
,,,,2313,VANBENSCHOTEN W D,8,10,10,4,1,2,,,7,42,
,,HIST,22,2314,RORABACK A J,23,9,8,2,6,,,,7,55,
,,,,2315,DISSARD L,31,4,1,,2,,,,3,41,
,,HIST,25,2316,ELLEFSON D C,21,11,7,2,5,,,,2,48,
,,HIST,26,2317,NESS B J,6,14,14,5,4,,,,4,47,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 51 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
History,HIST,HIST,29,2318,NESS B J,9,9,4,7,8,,,,4,41,
,,HIST,33,2319,FOGLEMAN A M,12,3,8,3,7,,,,5,38,
,,,,2320,FOGLEMAN A M,17,9,5,,4,,,,7,42,
,,,,2321,RORABACK A J,16,16,8,3,7,,,,6,56,
,,,,4260,RASMUSSEN K A,3,13,9,2,6,,,,7,40,
,,HIST,34,2322,PAYNICH T J,16,8,5,4,7,2,,,5,47,
,,,,2323,FARRELL J,18,16,11,2,4,2,,,6,59,
,,,,2324,GHANBARPOUR C,15,6,7,,7,,,1,4,40,
,,,,2325,FARRELL J,20,8,,,,,,,,28,
,,HIST,39,4261,CLAYBORNE D,9,3,1,,7,,,,20,40,
,,HIST,41,2326,BOLELLI D,8,20,7,,4,,,2,6,47,
,,HIST,42,2327,RUIZ R,12,26,5,2,,,,,2,47,
,,HIST,48,2328,HOLMGREN C L,,7,4,,6,1,,,1,19,
,,,,2329,HOLMGREN C L,2,4,1,1,6,1,,,5,20,
,,HIST,52,4262,MANOFF R J,14,9,2,,,,,,9,34,
,,HIST,53,2330,BOLELLI D,15,13,8,,8,,,,2,46,
,,,,2331,KERZE M,3,8,8,2,3,,,,8,32,
,,HIST,62,2332,CHI J S,4,5,9,7,6,,,,9,40,
Kinesiology,HEALTH,HEALTH 1,,2254,STRONG L M,13,11,3,2,4,,,,9,42,
,,,,2255,KAUFMAN D,5,5,7,4,12,,,,3,36,
,,,,2256,GEHA T P,18,12,8,3,2,,,,4,47,
,,,,2257,STRONG L M,14,14,7,3,11,,,,1,50,
,,,,2258,SPYCHAJ S L,17,15,3,3,4,,,,1,43,
,,,,2259,CHAVEZ E C,2,11,8,10,1,,,,6,38,
,,,,2260,PETERS C A,16,10,7,,4,,,,2,39,
,KIN PE,KIN PE,2,2379,GEHA T P,12,18,3,,3,,,,1,37,
,,KIN PE,3,2380,CONTARSY S A,34,11,6,,,,,,3,54,
,,KIN PE,4,2381,AURA J,29,4,3,,9,,,,6,51,
,,KIN PE,5A,2382,KALAFER F,31,1,,,,,,,1,33,
,,KIN PE,9A,2383,BARNETT R T,24,3,1,1,4,,,,3,36,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 52 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Kinesiology,KIN PE,KIN PE,9B,2384,ROYAL S A,25,3,,,,4,,,2,34,
,,KIN PE,9C,2385,JENKINS J M,35,10,2,4,,,1,,2,54,
,,,,2386,JENKINS J M,12,7,,1,,,,,5,25,
,,,,2387,NEWBILL I M,5,1,3,1,,,,,,10,
,,KIN PE 10,,2388,CULBERTSON I P,25,7,,,4,,,,4,40,
,,,,2389,SEYMOUR P S,35,,,,,1,,,5,41,
,,,,2390,SHICKMAN T D,42,4,1,,3,,,1,2,53,
,,,,2391,SEYMOUR P S,35,,,,,4,,,2,41,
,,,,2392,BARNETT R T,37,1,2,1,4,,,1,7,53,
,,,,2393,GEHA T P,8,21,8,2,3,,,,5,47,
,,,,2394,SEYMOUR P S,36,2,,,,1,,,6,45,
,,,,2395,SHICKMAN T D,26,6,2,1,1,1,,1,8,46,
,,,,2396,NEWBILL I M,21,12,2,2,5,,,,3,45,
,,,,4280,MURRAY Z M,7,6,4,,8,5,,,3,33,
,,,,4281,BANKS N,21,2,,,2,,,1,1,27,
,,KIN PE 11,,2397,BARNETT R T,24,4,2,1,9,,,,6,46,
,,,,2398,ROQUE E M,34,5,1,1,,,,,5,46,
,,KIN PE 11,,2399,TIAMFOOK M J,21,3,2,1,2,,,,8,37,
,,,,2400,BARNETT R T,34,1,2,,,1,,,4,42,
,,,,2401,BARNETT R T,20,1,1,1,1,1,,,5,30,
,,KIN PE 11,,2402,BARNETT R T,21,4,,,2,1,1,1,8,38,
,,,,2403,LINDHEIM G M,32,2,5,2,3,,,,6,50,
,,,,2404,GARCIA S M,31,5,5,8,1,,,1,7,58,
,,,,4282,BANUELOS D,10,2,,1,1,,,,7,21,
,,KIN PE 14,,2405,BARRON E A,20,4,2,3,,,,,4,33,
,,KIN PE 17,,2406,HEROLD M J,33,2,,,,,,,5,40,
,,,,2407,STRONG L M,39,1,,,6,,,,10,56,
,,KIN PE 19,,2408,CULBERTSON I P,29,5,3,,3,,,3,2,45,
,,,,2409,CULBERTSON I P,35,1,1,1,2,,,,5,45,
,,KIN PE 19,,2410,TIAMFOOK M J,31,1,1,,,,,,4,37,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 53 of 88,,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Kinesiology,KIN PE,KIN PE 19,2411,COLLIER A B,16,4,4,,,,,,,8,32
,,KIN PE 19,2412,COLLIER A B,29,2,,,,2,,,,3,36
,,KIN PE 19,2413,OLIVER T,25,3,2,,,,,,,5,35
,,KIN PE 21,2414,BARNETT R T,26,5,5,6,,5,,,,7,54
,,KIN PE 25,2415,RALSTON L C,13,5,2,,,,,,,2,22
,,KIN PE 25,2416,RALSTON L C,14,,,,,2,,,,2,18
,,KIN PE 25,2417,RALSTON L C,4,,,,,,,,,1,5
,,KIN PE 41,2418,EASTCOTT M B,24,,1,1,,5,,,,3,34
,,KIN PE 43,2419,PEHANICH J,22,8,2,,,,,,,6,38
,,,2420,HEROLD M J,34,1,,,1,,,,,4,40
,,,2421,PIERCE T L,31,2,1,,,,,,,4,38
,,KIN PE 43,2422,PIERCE T L,28,,1,2,,1,,,,4,36
,,,2423,BENDITSON A,31,3,,1,,,,,,3,38
,,KIN PE 46,4283,HORZEN C M,14,,1,,,4,,,,4,23
,,KIN PE 48,2424,SANTO M T,39,,1,1,,3,,,,5,49
,,,2425,ESKRIDGE B M,44,,,,,4,,,,1,49
,,KIN PE 48,2426,COLLIER A B,13,2,1,,,,,,,4,20
,,,2427,SHIMA T H,29,1,4,,,,,,1,4,39
,,,2428,BULLOCK J A,21,3,,,,1,,,,5,30
,,,2429,CHAVEZ E C,13,3,2,3,,,,,,2,23
,,KIN PE 48,2430,COLLIER A B,9,1,,,,2,,,2,4,18
,,,2431,COLLIER A B,12,2,2,1,,,,,,6,23
,,,2432,BULLOCK J A,10,1,,,,2,,,,,13
,,,2433,SHIMA T H,16,1,1,,,,,,,,18
,,KIN PE 48,2434,BULLOCK J A,16,1,,1,,,,,,2,20
,,,2435,COLLIER A B,4,1,,,,,,,,1,6
,,,2436,COLLIER A B,6,,,,,,1,,,2,9
,,,2437,BULLOCK J A,9,,,,,1,,,,1,11
,,,2438,SHIMA T H,6,1,2,,,,1,,,3,13
,,KIN PE 49,2439,ROMAN P A,14,,,,,,,,,1,15
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 54 of 88,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Kinesiology,KIN PE,KIN PE 50,2440,ESKRIDGE B M,9,4,,,,,,,,2,15
,,KIN PE 50,2441,ESKRIDGE B M,11,1,1,,,2,,,,1,16
,,KIN PE 54,2442,GAVANKAR S S,15,,1,1,,1,,,,,18
,,,2443,GAVANKAR S S,12,2,1,1,,1,,,,2,19
,,KIN PE 54,2444,GAVANKAR S S,3,3,1,,,2,,,,1,10
,,KIN PE 54,2445,GAVANKAR S S,7,,2,,,,,,,,9
,,,2446,GAVANKAR S S,6,,1,,,5,,,,1,13
,,KIN PE 54,2447,GAVANKAR S S,1,2,,,,2,,,,,5
,,KIN PE 56,2448,TIAMFOOK M J,21,1,,2,,2,,,,1,27
,,KIN PE 57,2449,ROQUE E M,28,1,3,1,,2,,,,6,41
,,KIN PE 57,2450,ROQUE E M,26,2,2,,,,,,1,4,35
,,,4284,RYAN N A,14,,,,,,,,,3,17
,,KIN PE 57,4285,RYAN N A,15,,,,,,,,,1,16
,,KIN PE 58,2451,ROQUE E M,33,2,3,,,,1,,1,6,46
,,,2452,BENNETT J L,11,7,5,1,,1,,,,3,28
,,,2453,PORTER L A,30,5,2,,,,,,,4,41
,,,4286,BENNETT J L,23,3,12,2,,3,1,,,3,47
,,,4287,PORTER L A,28,6,1,,,,,,,4,39
,,,4288,PORTER L A,17,8,3,,,,,,,3,31
,,KIN PE 58,2454,ROQUE E M,29,3,1,4,,,,,1,5,43
,,,2455,SANDOVAL H J,17,3,3,,,1,,,1,4,29
,,,2456,NARAYANAN R,29,1,,1,,1,,,,6,38
,,,2457,SANDOVAL H J,20,3,,1,,4,,,,4,32
,,,2458,SANDOVAL H J,30,3,,1,,1,,,,3,38
,,,4289,NARAYANAN R,11,4,1,,,4,,1,,6,27
,,KIN PE 59,2459,CHAVEZ E C,23,3,1,2,,,,,,6,35
,,KIN PE 88,2460,COLLIER A B,2,,1,,,,,,,,3
,,KIN PE 88,3222,COLLIER A B,1,,,,,,,,,,1
,PRO CR,PRO CR,7,2937,BENDITSON A,31,3,1,,,1,,,5,41
,,PRO CR 10,2938,ROQUE E M,24,18,5,5,,4,,,,5,61
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 55 of 88,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Kinesiology,PRO CR,PRO CR 11,,4429,KALEY M,20,12,4,4,1,4,,,5,50,
,,PRO CR 12,,2939,SHIMA T H,23,2,1,1,1,1,,1,3,33,
Library,LIBR,LIBR,1,2465,WOMACK C Z,15,5,6,1,5,,,,12,44,
,,,,2466,POWERS A L,15,7,6,5,3,,,1,9,46,
,,,,2467,PARISE M P,25,4,2,1,,,,,2,34,
,,,,4290,MIZRACHI D E,17,6,4,1,2,9,,3,15,57,
Life Science,ANATMY,ANATMY,,1075,DELL M M,5,2,5,2,4,,,,14,32,
,,,,1076,STEPHANOU M L,7,7,5,,4,,,,11,34,
,,,,1077,HUTCHINSON S C,6,4,7,2,6,,,,9,34,
,,,,1078,WATSON K R,8,7,10,3,,,,1,8,37,
,,,,1079,VALLE A M,12,3,2,2,2,,,,15,36,
,,,,1080,JOHNSON JA J,12,4,6,1,1,,,,4,28,
,,,,1081,HILL B J,4,6,10,,2,,,,10,32,
,,,,1082,STEPHANOU M L,4,7,10,5,1,,,,8,35,
,,,,1083,DELL M M,4,7,7,3,4,,,,7,32,
,,,,1084,HUTCHINSON S C,2,4,11,4,8,,,,4,33,
,,,,1085,WISSMANN P B,5,4,3,3,6,1,,,7,29,
,,,,1086,CABREL C B,13,11,6,1,,,,1,4,36,
,,,,1087,ROSTAMI M,19,18,2,,,,,,1,40,
,,,,1088,FICKBOHM D J,4,5,5,1,5,,,1,12,33,
,,,,1089,FICKBOHM D J,10,4,5,3,6,,,,4,32,
,,,,4011,COVITT G S,4,6,7,2,6,,,,8,33,
,,,,4012,GEISBAUER C L,8,14,1,,4,,,,4,31,
,,,,4013,RINDEN N S,7,10,9,1,1,,,,2,30,
,,ANATMY,,1090,WISSMANN P B,7,,,,,,,,3,10,
,BIOL,BIOL,2,1192,HUTCHINSON S C,8,7,7,10,6,,,,6,44,
,,,,1193,DELL M M,6,7,5,3,9,,5,3,10,48,
,,,,1194,SKYDELL J L,,5,6,4,13,1,3,,7,39,
,,,,1195,LONDE S P,2,10,7,2,8,,,,12,41,
,,,,1196,AZUMA K K,3,,7,,1,,1,,7,19,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 56 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Life Science,BIOL,BIOL,2,1197,CABREL C B,12,18,8,1,5,,,3,3,50,
,,,,1198,SKYDELL J L,1,6,6,,20,,2,2,8,45,
,,,,1199,AZUMA K K,10,3,10,2,3,,,,15,43,
,,,,1200,HOUGHTON J L,26,4,,,,,,7,6,43,
,,,,1201,HOUGHTON J L,31,8,,,,,,6,,45,
,,,,4044,ROSTAMI M,32,17,5,1,,,,3,1,59,
,,BIOL,3,1202,KIM-RAJAB O S,11,2,4,1,1,,,,5,24,
,,,,1203,LE M K,11,12,5,1,2,,,1,1,33,
,,,,1204,SAKAI W H,6,13,9,,3,1,,,2,34,
,,,,1205,SAKAI W H,4,7,16,,2,,,,3,32,
,,,,1206,JAYACHANDRAN S,11,12,11,,2,,,,3,39,
,,,,1207,MCLAUGHLIN D,8,7,9,5,1,,,1,1,32,
,,,,1208,JORDAN E A,6,10,12,2,2,,,,4,36,
,,,,1209,SPIEGLER M A,2,7,9,2,1,,,,4,25,
,,,,1210,SPIEGLER M A,6,6,6,1,1,1,2,1,9,33,
,,,,1211,SAKAI W H,7,6,8,,2,,,1,2,26,
,,,,1212,SAKAI W H,5,8,13,,3,1,,1,3,34,
,,,,1213,VON DER OHE C G,14,3,8,2,2,,,2,3,34,
,,,,1214,NICHOLS L B,18,6,4,,1,1,,,1,31,
,,,,1215,LONDE S P,3,8,10,5,1,,,1,2,30,
,,,,1216,FENNOY S L,11,4,10,2,3,,,,1,31,
,,,,1217,FENNOY S L,3,5,12,2,4,,,,5,31,
,,,,1218,KIM-RAJAB O S,5,6,5,2,1,,,3,9,31,
,,,,1219,KIM-RAJAB O S,7,10,1,,2,,,1,10,31,
,,,,4045,ROMERO R,5,13,6,8,,,,,,32,
,,,,4046,CHEN T T,6,11,7,4,,1,,,6,35,
,,,,4047,KAY B W,17,8,7,1,1,,,,2,36,
,,,,4048,CASSANO V P,25,7,4,,,,,1,1,38,
,,,,4049,CHEN T T,7,9,5,2,2,1,,1,5,32,
,,BIOL,9,1220,TOWER J A,3,6,16,4,7,,,,7,43,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 57 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Life Science,BIOL,BIOL,9,1221,TOWER J A,9,11,6,4,5,1,1,3,6,46,
,,,,1222,TOWER J A,5,13,10,4,1,6,,2,5,46,
,,,,1223,PRICE W M,13,13,5,,1,,2,13,5,52,
,,,,1224,SAKURAI D S,8,8,12,3,1,3,,4,8,47,
,,,,4050,JORDAN E A,13,14,15,,1,3,,3,3,52,
,,BIOL,15,1225,TARVYD E S,8,6,10,1,4,,,1,1,31,
,,,,1226,TARVYD E S,7,6,12,1,,,,,,26,
,,,,1227,BAGHDASARIAN G,7,6,3,4,6,1,1,,5,33,
,,BIOL,15N,4051,BAGHDASARIAN G,2,4,9,1,8,,,,7,31,
,,,,4052,MOSS J L,11,12,6,,1,,,,1,31,
,,BIOL,21,1228,COLAVITO M C,10,9,11,1,3,,,,1,35,
,,,,1229,COLAVITO M C,14,6,11,2,,,,,2,35,
,,,,1230,SCURIC Z,11,12,6,1,3,,,,3,36,
,,,,4053,CHEN T T,5,6,5,,,,,,10,26,
,,BIOL,22,1231,BOBER M A,8,9,9,,1,,,,6,33,
,,,,1232,BOBER M A,1,8,10,1,2,,,,5,27,
,,BIOL,23,1233,BAKER E H,8,13,4,,1,,,,3,29,
,,,,1234,BAKER E H,10,7,8,,,,,,5,30,
,,BIOL,81,1235,BUCHANAN A G,,,,,,,9,5,14,28,
,,BIOL,88A,1236,BAGHDASARIAN G,1,,,,,,,,,1,
,BOTANY,BOTANY,,1240,TOWER J A,4,5,6,5,1,4,,,6,31,
,,,,1241,BAKER E H,5,8,8,,,,,2,5,28,
,,,,1242,GRAHAM E A,8,13,7,,1,,,,4,33,
,MCRBIO,MCRBIO,,2621,LEDEZMA M G,7,9,3,,1,,,,3,23,
,,,,2622,KLUCKHOHN JONES L W,9,14,3,,,,,,,26,
,,,,2623,BUCHANAN A G,10,9,2,1,1,,,,2,25,
,,,,2624,BUCHANAN A G,8,10,3,,1,,,,,22,
,,,,2625,KLUCKHOHN JONES L W,10,11,2,,,,,,2,25,
,,,,4361,PEPPER E D,7,12,7,1,,,,,2,29,
,NUTR,NUTR,1,2757,ORTEGA Y,5,15,13,2,6,,,,5,46,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 58 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Life Science,NUTR,NUTR,1,2758,STAFSKY G B,18,6,4,4,11,,,,6,49,
,,,,2759,GONZALEZ C L,11,7,9,5,1,,,,10,43,
,,,,2760,ORTEGA Y,16,11,8,2,4,,,1,6,48,
,,,,2761,ORTEGA Y,12,14,8,4,2,,,,5,45,
,,,,2762,NOVAK D S,17,5,7,2,,,,,11,42,
,,,,2763,STAFSKY G B,16,11,2,4,5,,,,2,40,
,,,,2764,GONZALEZ C L,8,11,6,4,2,,,,11,42,
,,,,2765,GONZALEZ C L,5,6,3,5,1,,,,13,33,
,,,,2766,NOVAK D S,7,11,8,5,1,,,,7,39,
,,,,2767,RICHWINE D R,20,14,4,,1,,,,9,48,
,,,,4391,RICHWINE D R,20,7,8,2,1,,,,4,42,
,,NUTR,7,2768,GONZALEZ C L,6,8,,5,,,1,,12,32,
,,,,2769,GONZALEZ C L,10,11,5,7,3,,,1,4,41,
,,NUTR,4,2770,ORTEGA Y,19,9,9,6,,,,,3,46,
,,,,2771,ORTEGA Y,15,9,5,1,7,,,,8,45,
,,NUTR,90,2772,GONZALEZ C L,,,,,,,,2,,2,
,,NUTR,90,2773,GONZALEZ C L,,,,,,,,1,,1,
,PHYS,PHYS,3,2872,STEPHANOU M L,7,5,3,,3,,,,7,25,
,,,,2873,VON DER OHE C G,12,8,2,2,1,,,,1,26,
,,,,2874,VON DER OHE C G,12,7,3,1,1,,,,3,27,
,,,,2875,FINK S A,7,10,10,1,2,,,,3,33,
,,,,2876,ZUK P A,13,9,1,3,1,,,,,27,
,,,,2877,AZUMA K K,6,4,6,,,,,,8,24,
,,,,4418,PRICE W M,4,10,7,,,,,,8,29,
,ZOOL,ZOOL,5,3152,TARVYD E S,6,9,12,1,9,,,,3,40,
,,,,3153,MOSS J L,5,7,12,3,2,,1,2,,32,
Math,CS,CS,10,1631,EDINGER G C,3,5,2,1,1,,,,,12,
,MATH,MATH,2,2468,MAZOROW M M,3,6,,3,5,,,,17,34,
,,,,2469,LEE P H,4,,2,2,4,,,,10,22,
,,,,2470,MURRAY D B,9,9,6,4,4,,3,,11,46,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 59 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Math,MATH,MATH,2,2471,TAKA G J,6,7,3,7,12,,1,,6,42,
,,,,2472,LEE P H,2,3,2,1,6,1,,,16,31,
,,,,2473,RODAS B G,8,8,1,4,3,2,,1,7,34,
,,,,2474,JIMENEZ B S,12,10,7,2,6,,,,4,41,
,,,,2475,MCGRAW C K,5,10,1,7,12,,,,9,44,
,,,,2476,FINE R F,2,14,7,2,5,,,,15,45,
,,,,2477,EMERSON A J,7,7,9,5,7,1,,,10,46,
,,,,2478,HONG A M,,5,8,7,6,,,,11,37,
,,,,4291,RAMSEY E D,5,5,12,1,1,9,,,6,39,
,,,,4292,DAKDOUK R R,7,5,6,1,7,,,,18,44,
,,,,4293,FRY G P,4,6,7,2,7,,1,1,15,43,
,,,,4294,MALAKAR S R,2,2,10,1,9,,,,17,41,
,,MATH,7,2479,HONG A M,4,6,3,3,4,,,,9,29,
,,,,2480,WONG B L,3,2,10,4,1,7,,,11,38,
,,,,2481,JIMENEZ B S,13,16,11,8,7,,,,6,61,
,,,,2482,MAZOROW M M,5,4,5,3,11,,,,11,39,
,,,,2483,TAKA G J,7,9,8,6,5,,,,13,48,
,,,,2484,MURRAY D B,5,13,9,3,4,,,,13,47,
,,,,2485,RODAS B G,5,4,4,,8,,1,,12,34,
,,,,2486,NESTLER A E,,3,3,3,10,,,,21,40,
,,,,2487,GARCIA E E,9,5,12,3,9,,,,10,48,
,,,,4295,MAC DONALD M,5,6,11,1,2,,1,,8,34,
,,,,4296,JAHANGARD E,3,4,8,1,1,9,1,,12,39,
,,,,4297,NIKOLAYCHUK A M,5,4,1,4,23,,,,6,43,
,,,,4298,ZAKERI G A,6,14,5,3,7,,,,12,47,
,,MATH,8,2488,EDINGER G C,13,14,9,2,3,,,,8,49,
,,,,2489,TAKA G J,5,7,16,2,8,,,,10,48,
,,,,2490,WONG B L,7,6,4,5,7,,,,5,34,
,,,,2491,HONG A M,2,3,7,8,4,,,,11,35,
,,,,4299,NESTLER A E,1,3,1,3,15,,,,13,36,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 60 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Math,MATH,MATH,8,4300,GARCIA E E,14,19,11,,1,,,,4,49,
,,,,4301,ASKARIAN S N,9,12,8,5,1,,,,15,50,
,,MATH,10,2492,EDINGER G C,6,4,7,,1,,,,3,21,
,,MATH,11,2493,HONG A M,1,1,6,6,6,,,,8,28,
,,,,2494,RODAS B G,14,14,3,1,5,,,,9,46,
,,,,4302,NESTLER A E,2,6,4,3,8,,,,8,31,
,,MATH,13,2495,MAZOROW M M,3,8,4,5,7,,,,10,37,
,,,,4303,ZAKERI G A,10,11,12,1,1,,,,5,40,
,,MATH,15,2496,GARCIA E E,19,11,1,1,2,,1,,5,40,
,,,,4304,NESTLER A E,3,4,1,5,11,,1,,12,37,
,,MATH,18,2497,TSVIKYAN A,2,6,7,10,9,,,3,2,39,
,,,,2498,QUEVEDO J M,1,,5,13,9,1,4,,4,37,
,,,,2499,HARANDIAN R,3,7,14,2,9,,,4,1,40,
,,,,2500,CHO M,4,6,10,6,11,,,,9,46,
,,,,2501,KARASIK P A,5,1,2,7,12,,2,,11,40,
,,,,2502,KAMIN G,9,7,6,4,11,,,,11,48,
,,,,2503,FINE R F,4,8,13,4,10,,1,1,3,44,
,,,,4305,GRAVES L P,1,3,7,5,15,,1,,8,40,
,,,,4306,AKA D O,4,5,11,3,5,,1,1,3,33,
,,MATH,20,2504,QUEVEDO J M,1,,6,3,10,,,1,4,25,
,,,,2505,SCOTT R H,6,6,9,3,17,,,,5,46,
,,,,2506,HARANDIAN R,3,1,10,7,17,,,2,7,47,
,,,,2507,BOOSHERI S G,,3,3,3,20,,,,8,37,
,,,,2508,GREEN T R,5,3,5,24,,,1,1,8,47,
,,,,2509,GREEN T R,6,7,11,16,,1,,,4,45,
,,,,2510,FOSTER M,2,3,6,7,8,,,1,5,32,
,,,,2511,MURRAY D B,3,7,13,3,5,,,,5,36,
,,,,2512,PETER P A,1,3,3,8,19,,,,10,44,
,,,,2513,WANG E,4,6,4,2,11,,,,18,45,
,,,,2514,GROMOVA I M,3,4,3,4,13,,,1,9,37,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 61 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Math,MATH,MATH,20,2515,BOOSHERI S G,1,2,2,3,22,,,,16,46,
,,,,2516,SMITH S P,4,1,11,6,9,,,,11,42,
,,,,2517,CEROVIC K,2,3,9,2,6,,,,15,37,
,,,,2518,FOSTER M,2,3,6,2,16,,,,10,39,
,,,,2519,FOREMAN N J,3,11,14,3,7,,2,1,5,46,
,,,,2520,CAIN C D,9,4,6,2,8,,,,9,38,
,,,,2521,MARTINEZ M G,15,5,5,3,6,,,1,,35,
,,,,2522,GRAVES L P,1,4,4,12,14,,1,,7,43,
,,,,2523,MEKNUNI M,6,11,6,2,6,,,,7,38,
,,,,2524,ESMAEILI F A,4,6,12,13,1,,,1,6,43,
,,,,2525,OWENS D J,4,1,9,3,8,,,,12,37,
,,,,2526,PHUA N,3,4,4,1,18,,2,,11,43,
,,,,4307,SAAKIAN L,5,7,8,4,6,,,,5,35,
,,,,4308,CHITGAR M H,4,3,11,8,2,,,4,12,44,
,,,,4309,TADELE G T,4,6,7,,16,,,,10,43,
,,,,4310,MARDIROSIAN R,6,13,6,10,4,,,,4,43,
,,,,4311,BELLIN E H,10,7,9,6,7,,,,1,40,
,,,,4312,LONDON J S,,6,6,6,15,,1,,8,42,
,,,,4313,LIAO G,3,3,21,3,7,,1,,9,47,
,,,,4314,KARKAFI R H,5,,4,,10,,1,,14,34,
,,,,4315,BASKAUSKAS V A,4,12,14,3,9,,,,2,44,
,,,,4316,AKA D O,10,3,4,4,2,,,,8,31,
,,,,4317,YAN S K,4,8,15,7,5,,,,4,43,
,,MATH,21,2527,MOASSESSI M,1,7,4,9,7,,,,7,35,
,,,,2528,HARJUNO T,3,7,5,,13,,,,9,37,
