Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,,2093,BLACKWELL N,2,5,4,4,2,,,,7,,24,
,,,,2092,NASON N B,,11,10,,,,,,8,,29,
,,,,2090,LEMON W R,3,6,5,4,4,,,,2,,24,
,,,,2088,ANDERSON E,4,8,5,2,4,,,,2,,25,
,,,,2096,KAUFFMAN S R,3,6,3,2,2,,,,7,,23,
,,,,2084,PADILLA E,11,8,5,,2,,,,6,,32,
,,,,2091,NICHOLS E,7,10,2,,1,,,,2,,22,
,,,,2082,FUCHS C A,2,5,8,1,5,,,,3,,24,
,,,,2081,TRIPLETT J,3,4,4,4,5,,,,9,,29,
,,,,2080,CARDENAS T P,13,2,4,3,1,,,,3,,26,
,,,,2079,ORR P L,6,3,7,,1,,,,6,,23,
,,,,2115,HELLER G R,3,5,4,2,2,,,,7,,23,
,,,,2103,HELLER G R,5,3,3,3,1,,,,7,,22,
,,,,2087,HAMADA M J,5,5,4,,,,,,5,,19,
,,,,,,,,,,,,,,Page 59 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,21A,2111,FUCHS C A,3,11,6,1,1,,,,2,,24,
,,,,2114,FONSECA M L,,3,13,2,2,,,,6,,26,
,,,,2113,DIXON M J,6,10,3,1,5,,,,2,,27,
,,,,2089,PADILLA E,11,6,4,,,,,,7,,28,
,,,,2112,SANDSTROM J L,5,8,2,3,,,,,6,,24,
,,,,2097,MINAMI A M,1,7,1,,4,,,,7,,20,
,,,,2110,CARDENAS T P,13,4,5,1,1,,,,1,,25,
,,,,2109,DOSSETT G H,3,12,11,,4,,,,3,,33,
,,,,2108,ANDERSON E,7,8,4,2,2,,,,1,,24,
,,,,2107,STERR S D,9,12,10,1,1,,,,3,,36,
,,,,2099,CARDENAS T P,13,6,4,,2,,,,,,25,
,,,,2098,IRELAND S P,2,7,4,2,1,,,1,6,,23,
,,,,2106,MISAGHI A M,4,8,4,1,6,,,,2,,25,
,,,,2100,TRIPLETT J,,4,6,2,8,,,,2,,22,
,,,,2102,PADILLA E,18,6,4,,,,,,8,,36,
,,,,2104,HAMADA M J,13,5,2,2,,,,,3,,25,
,,,,2105,LANDAU D M E,,1,18,4,,,,,13,,36,
,,ENGL,21B,2149,GARNICA A M,,8,5,5,3,,,,4,,25,
,,,,3616,BLACKWELL N,3,3,4,,2,,,,6,,18,
,,,,2176,VISHWANADHA H,,,4,3,2,,,,17,,26,
,,,,2162,CANO D R,6,5,8,5,,,,,1,,25,
,,,,4191,GARCIA GU,12,3,3,1,2,1,,,5,,27,
,,,,2173,LOZADA C H,5,1,10,7,,,,,,,23,
,,,,2172,YOUNG R U,,8,4,7,2,,,,4,,25,
,,,,2170,DOUCET W J,1,8,3,5,,7,,,9,,33,
,,,,,,,,,,,,,,Page 60 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,21B,2168,OVERALL S J,7,7,4,1,,,,,4,,23,
,,,,2166,JOHNSON D J,4,12,5,3,1,,,,1,,26,
,,,,2164,ROBINSON B,6,6,2,2,4,,,,3,,23,
,,,,2163,DOUCET W J,3,7,13,12,,3,,,4,,42,
,,,,2175,DESAI D H,2,10,3,,,,,,8,,23,
,,,,2160,KAUFFMAN S R,3,4,5,2,,,,,1,,15,
,,,,2159,TRUBY D,1,6,9,2,7,,,,3,,28,
,,,,2157,BELL S L,6,3,1,5,1,,,,10,,26,
,,,,2156,YOUNG R U,3,10,4,2,,1,,,7,,27,
,,,,2155,CANO D R,2,5,6,7,,,,,5,,25,
,,,,2154,YUDELL J,2,6,6,1,2,,,,10,,27,
,,,,2153,ORR P L,3,6,6,2,2,,,,5,,24,
,,,,2152,FERREROSA J P,5,9,,3,,,,,2,,19,
,,,,2150,LIVANIS L,2,14,4,1,1,,,,3,,25,
,,,,2148,HELLER G R,2,3,3,1,,,,,10,,19,
,,,,2147,YUDELL J,2,3,5,3,,,,,17,,30,
,,,,2161,DIXON M J,1,7,2,3,4,1,,,4,,22,
,,,,2151,TRUBY D,3,7,1,4,,,,,7,,22,
,,ENGL,22,2177,ROBERTS P S,2,1,7,3,,,1,1,3,,18,
,,ENGL,23,2178,HARTMAN M,7,5,1,1,,,,,2,,16,
,,ENGL,26,2179,REMMES J,1,4,5,,,,,,1,,11,
,,ENGL,30A,2180,PADILLA M R,12,4,2,1,1,,,,3,,23,
,,,,2181,LEMON W R,11,5,1,2,,,,,2,,21,
,,,,4192,KRUSOE J A,22,,,,,,,,9,,31,
,,,,4193,PADILLA M R,11,5,,2,,,,,6,,24,
,,,,,,,,,,,,,,Page 61 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,30B,2182,PADILLA M R,5,,,,,,,,,,5,
,,,,2183,LEMON W R,5,,,1,,,,,,,6,
,,,,4194,PADILLA M R,3,,,,,,,,1,,4,
,,,,4195,KRUSOE J A,15,,,,,,,,3,,18,
,,ENGL,31,2184,CAGGIANO S E,5,3,4,3,1,,,,8,,24,
,,ENGL,40,3575,VISHWANADHA H,1,3,1,3,,,,,5,,13,
,,ENGL,48,2186,STEEBER S J,6,4,1,2,,,,,6,,19,
,,ENGL,50,2188,STERR S D,12,11,6,1,2,1,,,4,,37,
,,ENGL,51,4196,REMMES J,1,1,1,,,,,,1,,4,
,,ENGL,52,4197,DEL GEORGE D K,6,1,1,,,,,,,,8,
,,ENGL,80,2190,SHAPIRO E P,,,,,,,6,11,3,,20,
,,ENGL,84W,2192,YUDELL J,,,,,,,10,9,4,,23,
,,ENGL,85,2219,COLTON P M,,,,,,,1,19,1,,21,
,,,,2210,JAMES K R,,,,,,,2,17,5,,24,
,,,,2211,HIOUREAS E C,,,,,,,1,23,2,,26,
,,,,2212,WEATHERFORD K C,,,,,,,,25,3,,28,
,,,,2213,KRUG J M,,,,,,,,22,3,,25,
,,,,2214,EBERLE B M,,,,,,,5,12,6,,23,
,,,,2215,COLTON P M,,,,,,,3,15,5,,23,
,,,,2216,SCHNITZLER A P,,,,,,,2,18,6,,26,
,,,,2218,CASSARO J A,,,,,,,,15,5,,20,
,,,,2206,SCHNITZLER A P,,,,,,,1,19,7,,27,
,,,,2220,SHAPIRO E P,,,,,,,8,13,1,,22,
,,,,3525,CASSARO J A,,,,,,,1,24,5,,30,
,,,,4198,HAVENNER J K,,,,,,,2,15,4,,21,
,,,,,,,,,,,,,,Page 62 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,85,4199,SHAPIRO E P,,,,,,,6,20,,,26,
,,,,2217,MILLER N A,,,,,,,6,11,4,,21,
,,,,2201,KLEMP R M,,,,,,,4,25,1,,30,
,,,,2194,MARKARIAN E A,,,,,,,1,30,,,31,
,,,,2195,WRIGHT N E,,,,,,,1,23,4,,28,
,,,,2196,MARKARIAN E A,,,,,,,1,28,3,,32,
,,,,2197,JAMES K R,,,,,,,,15,13,,28,
,,,,2198,DAVISON,IV G S,,,,,,5,19,3,,27,
,,,,2208,WRIGHT N E,,,,,,,,23,2,,25,
,,,,2200,O'HARA D M,,,,,,,1,16,6,,23,
,,,,2209,DAVISON,IV G S,,,,,,2,21,4,,27,
,,,,2202,WEATHERFORD K C,,,,,,,1,16,7,,24,
,,,,2203,WEATHERFORD K C,,,,,,,2,25,3,,30,
,,,,2204,COUEY S L,,,,,,,4,21,2,,27,
,,,,2205,EBERLE B M,,,,,,,4,21,2,,27,
,,,,2207,MARKARIAN E A,,,,,,,,30,4,,34,
,,,,2199,JAMES K R,,,,,,,1,13,10,,24,
,HUM,HUM,26,2564,REMMES J,1,1,3,1,1,,,,5,,12,
,,HUM,88A,2565,BEARDSLEY J D,2,1,1,,,4,,,6,,14,
,REL ST,REL ST 51,,4459,REMMES J,1,4,4,2,1,1,,,6,,19,
,,REL ST 52,,4460,DEL GEORGE D K,11,5,2,,,,,,2,,20,
ESL,ESL,ESL,10G,2235,LEVEQUE V F,6,12,6,,,1,,,1,,26,
,,,,2236,YENSER S J,5,4,8,4,1,,,,3,,25,
,,,,2237,ELLIS T L,6,9,4,4,1,,,,3,,27,
,,,,2238,HOROWITZ R S,2,11,2,3,5,,,,3,,26,
,,,,,,,,,,,,,,Page 63 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
ESL,ESL,ESL,10G,2239,JACOBS T,7,7,5,2,,,,,2,,23,
,,,,4201,BEDERMAN S M,1,12,4,2,,,,,3,,22,
,,,,4524,CRUZ SANTOYO M E,,7,2,1,,,,,5,,15,
,,ESL,10W,2241,KOENIG GOLOMBEK L,1,14,6,1,1,1,,,2,,26,
,,,,,K,,,,,,,,,,,,
,,,,4525,WARNOCK M S,1,9,6,4,3,,,,3,,26,
,,,,4202,KUNIMOTO T A,,5,10,2,4,,,,1,,22,
,,,,2244,KUGEL N,3,11,9,1,1,,,,,,25,
,,,,2242,SPECTOR A L,1,5,11,1,5,,,,1,,24,
,,,,2240,LEE M E,1,11,9,1,1,,,,2,,25,
,,,,2243,STIVENER M,1,2,10,2,4,,,,6,,25,
,,ESL,11A,2251,JO C J,,3,12,3,7,,,,,,25,
,,,,2247,MARASCO J A,2,4,7,6,1,,,,4,,24,
,,,,2255,WALKER D D,,7,11,3,2,,,,2,,25,
,,,,2254,KIM E,,2,11,6,2,,,,3,,24,
,,,,2253,GRAZIADEI K N,1,4,8,6,4,,,,,,23,
,,,,4203,ALLING B J,,6,9,3,2,,,,1,,21,
,,,,2248,KAHN A B,2,3,12,4,3,,,,,,24,
,,,,2246,LODMER E L,,6,8,7,3,,,,1,,25,
,,,,2245,MCILROY L M,2,8,8,3,2,1,,,1,,25,
,,,,2250,SILVER J L,,3,7,11,4,,,,1,,26,
,,,,2249,JAFFE S R,1,4,11,5,2,,,,4,,27,
,,ESL,11B,2258,MARASCO J A,,3,4,2,,,7,7,4,,27,
,,,,4205,ALLING B J,,3,9,1,3,,,4,2,,22,
,,,,2263,ALLIE S M,1,3,4,3,2,,1,5,3,,22,
,,,,,,,,,,,,,,Page 64 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
ESL,ESL,ESL,11B,2261,ALLIE S M,1,3,3,1,3,,2,11,,,24,
,,,,2259,LEVITT D J,3,,5,2,3,,2,6,3,,24,
,,,,2257,LEVITT D J,,1,5,3,3,,,3,6,,21,
,,,,2256,KAHN A B,2,,5,2,1,,2,11,2,,25,
,,,,2260,LEE M E,,,3,3,1,,5,10,2,,24,
,,ESL,14A,2264,MARASCO J A,11,10,1,1,2,,,,3,,28,
,,ESL,14B,2266,MARASCO J A,4,8,2,1,1,1,,,3,,20,
,,ESL,15,2267,BOSTWICK L H,16,8,1,1,6,,,,3,,35,
,,ESL,16A,2268,NIGHTINGALE M D,4,6,3,,3,,,2,11,,29,
,,ESL,16B,2270,NIGHTINGALE M D,1,2,2,1,4,,,1,3,,14,
,,,,2269,SPECTOR A L,6,9,8,3,2,,,,9,,37,
,,ESL,16C,2272,NIGHTINGALE M D,3,8,3,2,3,,,1,13,,33,
,,ESL,17,2273,STIVENER M,4,6,4,6,3,,,,3,,26,
,,ESL,20A,2274,ELLIS T L,8,15,5,2,2,,,1,,,33,
,,,,2275,NIGHTINGALE M D,1,2,6,8,,,,,2,,19,
,,ESL,21A,2302,HENRY L J,,6,5,4,1,1,3,4,1,,25,
,,,,2294,YENSER S J,,,2,1,1,,6,11,3,,24,
,,,,2295,ALLIE S M,,1,2,2,2,,3,13,4,,27,
,,,,2296,ASHLEIGH S B,,1,7,2,,,5,9,,,24,
,,,,2297,GRAZIADEI K N,1,2,2,2,2,,8,5,1,,23,
,,,,2298,MCILROY L M,,1,4,,,,4,24,2,,35,
,,,,2299,MASTBAUM B M,11,4,1,,1,,1,6,,,24,
,,,,2290,MASTBAUM B M,5,8,4,1,,,,7,1,,26,
,,,,2301,GRAZIADEI K N,,1,4,3,3,,6,5,1,,23,
,,,,2289,LEVITT D J,1,2,5,1,4,,5,6,1,,25,
,,,,,,,,,,,,,,Page 65 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
ESL,ESL,ESL,21A,4206,BEDERMAN S M,2,8,5,3,,,1,1,5,,25,
,,,,2300,IBARAKI A T,,4,,2,,,6,7,3,,22,
,,,,2280,MASTBAUM B M,3,4,3,1,,,,11,1,,23,
,,,,2277,LODMER E L,2,8,2,1,,,7,13,3,,36,
,,,,2291,KIM E,1,6,5,3,,,4,2,,,21,
,,,,2279,IBARAKI A T,1,4,,2,,,12,5,,,24,
,,,,2281,HOOVER J,1,5,4,2,,,3,2,5,,22,
,,,,2282,ASHLEIGH S B,3,7,2,2,,,4,5,2,,25,
,,,,2284,JAFFE S R,1,6,4,2,5,,8,7,,,33,
,,,,2285,HOOVER J,4,4,9,8,,,5,1,2,,33,
,,,,2286,JAFFE S R,1,2,7,2,4,,8,8,6,,38,
,,,,2287,ASHLEIGH S B,,15,5,1,,,1,4,,,26,
,,,,2288,IBARAKI A T,1,3,4,2,,,4,4,2,,20,
,,,,2278,HOOVER J,2,8,8,2,,,5,6,4,,35,
,,ESL,21B,2309,HENRY L J,3,10,3,,,,,6,2,,24,
,,,,2318,HOLMES W J,2,5,2,2,,,1,9,2,,23,
,,,,2317,TRACEY M P,2,3,,,,,7,11,1,,24,
,,,,2315,JO C J,1,4,3,,,,8,8,,,24,
,,,,2314,KUNIMOTO T A,,4,6,1,,,7,12,,,30,
,,,,2313,TRACEY M P,1,1,1,,,,5,16,1,,25,
,,,,4207,TRACEY M P,1,6,2,1,,,6,3,6,,25,
,,,,2308,KOENIG GOLOMBEK L,,8,3,,,,4,17,2,,34,
,,,,,K,,,,,,,,,,,,
,,,,2307,KOENIG GOLOMBEK L,,6,1,2,,,8,12,5,,34,
,,,,,K,,,,,,,,,,,,
,,,,2305,IBARAKI A T,1,4,2,,,,6,12,,,25,
,,,,,,,,,,,,,,Page 66 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
ESL,ESL,ESL,21B,2304,HOOVER J,3,5,1,2,,,6,5,2,,24,
,,,,2303,LODMER E L,3,1,3,1,,,11,7,4,,30,
,,,,2311,MCILROY L M,2,2,5,1,1,,,18,,,29,
,,,,2310,DANCOFF J,6,10,3,1,,,,6,1,,27,
,,ESL,23,2321,GRAZIADEI K N,7,3,3,2,3,,,,3,,21,
,,ESL,28,2324,IBARAKI A T,3,8,5,2,1,,,1,1,,21,
Health Sciences,HEALTH,HEALTH 61,,2483,REES D M,14,4,2,2,2,,,,9,,33,
,NURSNG,NURSNG 10,,3030,ANGEL V M,9,15,2,,,,,,1,,27,
,,NURSNG 10L,,3031,GALARAGA E,,,,,,,1,8,,,9,
,,,,3032,MAYORGA A,,,,,,,,8,1,,9,
,,,,3033,PENAFLORIDA D D,,,,,,,1,8,,,9,
,,NURSNG 15,,3035,THIERCOF H A,8,15,,,,,,,1,,24,
,,NURSNG 15L,,3039,KHOJA A M,,,,,,,,8,,,8,
,,,,3036,KHOJA A M,,,,,,,,7,1,,8,
,,,,3037,KHOJA A M,,,,,,,,8,,,8,
,,NURSNG 16,,3040,THIERCOF H A,,,,,,,,17,,,17,
,,NURSNG 17,,3042,FRIEDMAN M H,9,7,3,1,,,,,1,,21,
,,,,3041,FRIEDMAN M H,5,4,7,1,,,,,10,,27,
,,NURSNG 20,,3043,THIERCOF H A,30,7,,,,,,,1,,38,
,,NURSNG 20L,,3044,THIERCOF H A,,,,,,,,9,1,,10,
,,,,3045,KHOJA A M,,,,,,,,8,,,8,
,,,,3046,ANGEL V M,,,,,,,,10,,,10,
,,,,3047,SOSHNIK R M,,,,,,,,10,,,10,
,,NURSNG 25,,3048,FARBER G C,12,22,3,,,,,,,,37,
,,,,,,,,,,,,,,Page 67 of 119,,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Health Sciences,NURSNG,NURSNG 25L,3490,STOVALL K,,,,,,,,,4,,,4
,,,3489,THOMPSON ANDREA J,,,,,,,,,3,,,3
,,,,C,,,,,,,,,,,,
,,,3488,WISE J K,,,,,,,,,9,,,9
,,,3052,RISINGER L A,,,,,,,,,5,,,5
,,,3051,WISE J K,,,,,,,,,3,,,3
,,,3049,STOVALL K,,,,,,,,,4,,,4
,,,3050,FARBER G C,,,,,,,,,9,,,9
,,NURSNG 28,3053,SHORT A D,8,24,5,,,,,,,,,37
,,NURSNG 30,3054,SHORT A D,2,18,7,,1,,,,,,,28
,,NURSNG 30L,3058,GODAWA K S,,,,,,,,1,9,,,10
,,,3055,WILLIAMS E J,,,,,,,,,9,,,9
,,,3056,SHORT A D,,,,,,,,,9,,,9
,,NURSNG 35,3059,ANGEL V M,,16,11,,,,,,,,,27
,,NURSNG 35L,3060,ANGEL V M,,,,,,,,,9,,,9
,,,3061,VALCIN F,,,,,,,,,9,,,9
,,,3062,BREGMAN M A,,,,,,,,,9,,,9
,,NURSNG 36,3064,LOPEZ G M,5,3,2,,5,,,,,16,,31
,,,3065,LOPEZ G M,6,18,3,1,5,,,,,2,,35
,,NURSNG 40,3066,ADLER E,4,14,1,,,,,,,,,19
,,,3067,ADLER E,2,8,,,,,,,,,,10
,,NURSNG 40L,3070,SCARLET A,,,,,,,,,9,,,9
,,,3071,SCARLET A,,,,,,,,,10,,,10
,,,3068,ADLER E,,,,,,,,,10,,,10
,,NURSNG 45,3072,VALCIN F,,4,6,,,,,,,,,10
,,,,,,,,,,,,,,Page 68 of 119,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Health Sciences,NURSNG,NURSNG 45,,3073,VALCIN F,14,,5,,,,,,1,,20,
,,NURSNG 45L,,3076,SMITH D L,,,,,,,,10,,,10,
,,,,3074,VALCIN F,,,,,,,,9,1,,10,
,,,,3075,VALCIN F,,,,,,,,10,,,10,
,,NURSNG 50,,3078,WILLIAMS E J,6,13,10,,,,,,,,29,
,,NURSNG 50L,,3080,SHORT A D,,,,,,,,13,,,13,
,,,,3079,WILLIAMS E J,,,,,,,,16,1,,17,
,RES TH,RES TH,1,3345,SANTANA S A,9,7,4,,5,,,,3,,28,
,,RES TH 60,,3346,SANTANA S A,2,6,7,4,4,,,,,,23,
History,ENVRN,ENVRN,32,3473,FOUSER D C,1,4,2,2,2,,,,4,,15,
,HIST,HIST,1,2486,BENNETT H M,16,3,3,,,,,,1,,23,
,,,,4262,STILES C L,13,11,5,1,4,1,1,5,4,,45,
,,,,3518,FOUSER D C,8,4,7,4,10,,,,5,,38,
,,,,2490,BYRNE D,15,14,1,2,3,,,1,4,,40,
,,,,2489,STILES C L,9,19,6,1,3,,,2,2,,42,
,,,,2487,STILES C L,14,14,3,3,4,,2,,3,,43,
,,,,2485,BYRNE D,11,14,7,6,2,,,,4,,44,
,,,,2484,BENNETT H M,14,7,9,2,4,,,,9,,45,
,,,,2488,BENNETT H M,10,9,8,4,6,,,,4,,41,
,,HIST,2,2496,VERLET M C,3,3,6,,2,,,1,10,,25,
,,,,2492,MANOFF R J,15,17,4,2,3,1,,,4,,46,
,,,,4263,RASMUSSEN K A,1,7,6,,4,,,,12,,30,
,,,,2497,VERLET M C,1,2,2,2,4,,,,10,,21,
,,,,2491,COOPER J A,15,5,5,2,3,,,,11,,41,
,,,,,,,,,,,,,,Page 69 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
History,HIST,HIST,2,2493,KERZE M,5,10,12,1,2,,,1,12,,43,
,,,,2494,BENNETT H M,14,6,7,3,6,,,,7,,43,
,,,,2495,BENNETT H M,8,9,8,1,9,,,,6,,41,
,,HIST,3,4264,STILES C L,21,6,1,,4,,2,2,1,,37,
,,HIST,5,2498,RUIZ R,9,11,16,2,,3,,1,5,,47,
,,HIST,6,2499,RUIZ R,12,20,5,,2,1,,,12,,52,
,,HIST,10,2509,KAWAGUCHI L A,3,6,3,2,8,,,,13,,35,
,,,,4510,SLAUGHTER M A,7,17,3,3,5,,,,6,,41,
,,,,2508,FLORES A P,8,14,12,2,4,,,1,1,,42,
,,,,2507,WILKINSON JR E C,19,16,1,,1,,,,7,,44,
,,,,2506,AMERIAN-DONNELL S M,3,14,19,,3,,,1,7,,47,
,,,,2504,SAAVEDRA Y,5,4,16,5,7,,1,1,8,,47,
,,,,2503,CRUZ J S,6,9,6,3,6,,,1,9,,40,
,,,,2502,KAWAGUCHI L A,,4,9,4,10,,,,19,,46,
,,,,2501,KAWAGUCHI L A,1,6,8,15,,,,1,13,,44,
,,,,2500,KAWAGUCHI L A,2,5,8,3,11,,,,19,,48,
,,,,2505,AMERIAN-DONNELL S M,2,15,14,,3,,,,11,,45,
,,HIST,11,2514,MORENO M,8,11,9,5,4,,,,8,,45,
,,,,4265,STILES C L,16,14,5,1,6,,,1,3,,46,
,,,,3599,CHI J S,3,8,4,,6,,,,8,,29,
,,,,2518,NIELSEN C S,8,11,3,,2,,,,6,,30,
,,,,2517,MORENO M,7,13,3,4,3,,,,12,,42,
,,,,2510,BORGHEI S C,2,5,8,6,2,,,,16,,39,
,,,,2515,CHI J S,5,11,3,3,7,,,,16,,45,
,,,,,,,,,,,,,,Page 70 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
History,HIST,HIST,11,2513,NIELSEN C S,3,11,7,3,,1,,,3,,28,
,,,,2512,AMERIAN-DONNELL S M,5,9,12,2,4,,,1,6,,39,
,,,,2511,KEVILLE T J,25,16,8,1,1,,,,,,51,
,,,,2516,AMERIAN-DONNELL S M,3,16,6,4,,,,,10,,39,
,,HIST,12,2526,KEVILLE T J,44,4,3,2,,,,,1,,54,
,,,,2524,CHI J S,9,9,8,3,5,,,,6,,40,
,,,,2527,CRUZ J S,7,6,10,4,2,1,,,6,,36,
,,,,4266,BOLELLI D,8,11,12,1,3,,,1,6,,42,
,,,,2525,MANOFF R J,16,12,6,2,2,1,,,4,,43,
,,,,2522,KEVILLE T J,37,8,,1,,,,,5,,51,
,,,,2521,CHI J S,5,15,9,6,,,,1,8,,44,
,,,,2520,MORENO M,5,4,12,3,3,,,,12,,39,
,,,,2519,CHI J S,,18,4,2,5,,,,8,,37,
,,,,2528,VANBENSCHOTEN W D,10,6,1,2,8,,,,8,,35,
,,,,2523,MORENO M,8,11,6,6,2,,,,9,,42,
,,HIST,13,2529,WILKINSON JR E C,17,8,,2,,3,,1,9,,40,
,,,,2530,MCMILLEN R,11,9,3,2,3,,,1,9,,38,
,,HIST,14,2531,KAWAGUCHI L A,2,7,3,2,6,,,1,14,,35,
,,,,2532,BORGHEI S C,8,8,7,3,4,,,,9,,39,
,,HIST,16,2536,MCMILLEN R,7,5,6,1,3,,,,14,,36,
,,,,2535,GLASGOW K H,31,5,7,,,1,,,7,,51,
,,HIST,19,2537,RUIZ R,13,7,,3,,,,,11,,34,
,,HIST,20,2538,WILKINSON JR E C,5,13,4,1,,4,,,8,,35,
,,,,,,,,,,,,,,Page 71 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
History,HIST,HIST,22,2539,PETROCELLI R M,8,11,5,3,,,,,9,,36,
,,HIST,24,2540,REILLY B J,11,8,1,2,4,,,,4,,30,
,,HIST,32,2541,FOUSER D C,6,3,3,4,5,,,,3,,24,
,,HIST,33,2544,PETROCELLI R M,7,9,6,3,6,,,,9,,40,
,,,,2543,PETROCELLI R M,9,8,6,1,9,,,,10,,43,
,,,,2542,PETROCELLI R M,8,7,8,2,6,,,,8,,39,
,,,,2546,VANBENSCHOTEN W D,7,8,4,1,3,,,,9,,32,
,,HIST,34,2548,KENT M L,16,4,7,4,,,,,2,,33,
,,,,2549,MAYNC T M,4,12,9,1,3,,,,12,,41,
,,,,2550,KENT M L,28,6,5,3,,,,,,,42,
,,,,2552,VANBENSCHOTEN W D,6,10,1,2,4,,,,8,,31,
,,HIST,39,2553,PETROCELLI R M,10,5,3,3,3,,,,11,,35,
,,HIST,41,2554,BOLELLI D,5,12,9,4,7,,,,6,,43,
,,HIST,43,2555,MORENO M,4,9,3,4,2,,,,19,,41,
,,HIST,52,2557,AMERIAN-DONNELL S M,11,9,8,2,1,,,,8,,39,
,,HIST,53,2559,KERZE M,7,6,3,2,1,,,,12,,31,
,,,,2558,BOLELLI D,10,9,5,7,,,1,,10,,42,
,,HIST,55,2560,KERZE M,12,4,6,3,,,,1,13,,39,
Kinesiology,HEALTH,HEALTH 10,,2482,CHAVEZ E C,4,9,10,12,1,,,1,5,,42,
,,,,2477,STRONG L M,11,13,5,4,1,,,,11,,45,
,,,,2478,STRONG L M,13,12,8,2,,1,,1,6,,43,
,,,,2479,O'FALLON D R,33,11,2,3,,,,,4,,53,
,,,,2480,CHAVEZ E C,9,8,12,7,2,,,,5,,43,
,,,,,,,,,,,,,,Page 72 of 119,,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Kinesiology,HEALTH,HEALTH 10,2481,KAUFMAN D,8,8,6,3,7,,,,,7,,39
,KIN PE,KIN PE,2,3511,CARLSTEN E B,4,3,1,,,,,,1,,9
,,KIN PE,3,2610,CONTARSY S A,17,16,7,,,,,,6,,46
,,,3512,CONTARSY S A,9,6,1,,,,,,,5,,21
,,KIN PE,4,2611,AURA J,26,9,4,7,,,,,4,,50
,,KIN PE,5A,2612,KALAFER F,22,5,1,1,,,,,1,,30
,,KIN PE,9A,2613,BARNETT R T,12,3,3,3,3,,,,6,,30
,,KIN PE,9B,2614,COOPER A G,15,4,,,,,,,3,,22
,,KIN PE,9C,2615,ROYAL S A,31,3,,1,,1,,,5,,41
,,KIN PE 10,2616,OCAMPO J M,19,4,1,1,,,,,,6,,31
,,,2624,CARLSTEN E B,19,3,,,,,,,,4,,26
,,,2623,FISHER JE,20,5,,1,,,,,,6,,32
,,,2622,HANK M E,11,6,,,3,,,,,,,20
,,,2621,NEWBILL I M,27,4,2,,2,,,,1,8,,44
,,,2620,BARNETT R T,18,,,,1,,1,,,7,,27
,,,2619,SEYMOUR P S,24,2,,,,,,,,5,,31
,,,2617,OCAMPO J M,11,3,,,2,,,,,8,,24
,,,2618,GOLDENSON R M,16,1,1,2,5,,,,,8,,33
,,KIN PE 11A,2626,LENNON G T,26,5,1,,1,,,,,6,,39
,,,4518,HANK M E,11,2,2,,4,,,,,6,,25
,,,2625,BARNETT R T,4,7,4,1,,,,,,9,,25
,,KIN PE 11B,2627,SEYMOUR P S,18,1,2,,,,,,,4,,25
,,,2628,BARNETT R T,6,9,,1,,,,,,7,,23
,,,2629,BARNETT R T,9,8,5,1,2,,,,,9,,34
,,,2630,HANK M E,13,5,1,2,,,,,,1,,22
,,,,,,,,,,,,,,Page 73 of 119,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Kinesiology,KIN PE,KIN PE 11B,2631,HANK M E,10,5,1,,2,,,,,4,,22
,,KIN PE 11C,2635,HANK M E,11,1,1,,6,,,,,5,,24
,,,2632,BARNETT R T,15,4,5,1,3,,,,,7,,35
,,,2633,HANK M E,1,,1,2,,,,,,1,,5
,,,2634,HANK M E,8,1,,,3,,,,,5,,17
,,KIN PE 17,2636,STRONG L M,30,6,3,,1,,,,2,6,,48
